"user_id","image_paths","user_claim","claim_object","evidence_standard_met","evidence_standard_met_reason","risk_flags","issue_type","object_part","claim_status","claim_status_justification","supporting_image_ids","valid_image","severity"
"user_017","images/test/case_017/img_1.jpg;images/test/case_017/img_2.jpg","Customer: Mi laptop se cayo de la mesa. | Support: What damage are you reporting? | Customer: La pantalla esta cracked, the screen has a crack. | Support: Is keyboard or hinge also part of this? | Customer: No, only laptop screen crack.","laptop","true","Both images show laptops with the screen area visible. img_2 clearly shows a laptop screen with extensive damage, allowing evaluation of the claimed screen crack.","claim_mismatch","glass_shatter","screen","supported","img_2 confirms screen damage consistent with a drop incident as described by the customer. The customer described a screen crack, but the visual evidence shows damage exceeding a simple crack — the screen is shattered into multiple fragments radiating from an impact point. The core claim of screen damage from a fall is supported, though severity is greater than described. History is clean with no risk flags, reinforcing claim credibility.","img_2","true","high"
"user_018","images/test/case_018/img_1.jpg","Customer: I spilled coffee near the laptop and now I am worried. | Support: Which part should be checked? | Customer: Keyboard liquid damage. | Support: Are keys missing or physically broken? | Customer: No, it is about possible liquid damage on the keyboard.","laptop","true","The keyboard is clearly visible in img_1 with sharp focus and good lighting, allowing full inspection of key surfaces for any signs of liquid damage.","user_history_risk","none","keyboard","contradicted","The customer claims possible liquid/coffee damage to the keyboard, but img_1 shows the keyboard is clean and dry with no visible stains, discoloration, residue, wet patches, or warping consistent with liquid damage. The visual evidence directly contradicts the reported concern.","img_1","true","none"
"user_019","images/test/case_019/img_1.jpg;images/test/case_019/img_2.jpg;images/test/case_019/img_3.jpg","Customer: The laptop fell while open. | Support: What visible issues are you claiming? | Customer: Hinge broke, and I also think the screen cracked. | Support: Both in one claim? | Customer: Yes, hinge damage and screen crack together.","laptop","true","img_1 clearly shows the laptop hinge area with visible separation and broken components, allowing evaluation of the hinge claim. The screen surface is not clearly shown in any image, so the screen crack portion of the claim cannot be evaluated visually.","low_light_or_glare;non_original_image","broken_part","hinge","supported","The hinge damage claim is visually supported by img_1, which shows clear separation at the lid-base junction, exposed internal components, and a detached/broken hinge structure consistent with the reported drop incident. The screen crack claim cannot be confirmed or denied as no image clearly captures the screen surface; however, per synthesis rules, 'not_enough_information' is reserved for cases where the claimed part was entirely invisible — here the primary claimed part (hinge) is fully supported. img_2 and img_3 are stock photos of an intact laptop and contribute no evidentiary value. The user's clean claims history with no risk flags further supports the overall credibility of this claim.","img_1","true","medium"
"user_020","images/test/case_020/img_1.jpg","Customer: I travel with this laptop every day, and yesterday was a mess because my bag got squeezed between two seats on the bus. | Support: Did the laptop stop working after that? | Customer: Not immediately. I used it for a while and thought everything was normal. Then during a call I noticed the cursor movement felt strange. I restarted the laptop, cleaned the surface, and even checked if my mouse settings changed. | Support: Are you reporting a software issue or physical damage? | Customer: That is what confused me. At first I thought it was software, then I noticed the lower palm-rest area looked slightly off. | Support: Which part do you want the images reviewed for? | Customer: Not the screen, keyboard, or hinge. The actual claim is that the trackpad is cracked.","laptop","false","The trackpad is largely obscured by the customer's hand, preventing inspection of the claimed crack. Only small portions of the trackpad edge are visible, which is insufficient to confirm or deny the claimed damage.","cropped_or_obstructed;damage_not_visible;user_history_risk;manual_review_required","unknown","trackpad","not_enough_information","The trackpad surface cannot be assessed because the customer's hand obstructs the central area where the claimed crack would be located. The visible edges show no fracture lines, but this is insufficient to confirm or contradict the claim. A new, unobstructed image of the trackpad is required before a determination can be made. The existing moderate history risk flag further supports the need for additional evidence.","none","true","unknown"
"user_025","images/test/case_025/img_1.jpg;images/test/case_025/img_2.jpg","Customer: Teclas del laptop faltan despues de una caida. | Support: Are you reporting missing keyboard keys? | Customer: Si, some keycaps came off. | Support: Is the claim about the laptop keyboard specifically? | Customer: Yes, laptop keyboard keys missing.","laptop","true","Both images clearly show keyboards and allow inspection of keys, but the keyboards depicted are external Apple desktop keyboards, not a laptop keyboard as claimed.","wrong_object;claim_mismatch","unknown","keyboard","contradicted","The customer claims laptop keyboard keys went missing after a drop. Neither image shows a laptop. img_1 depicts a full-size external Apple Magic Keyboard with all keys intact, and img_2 shows a close-up of a separate external wireless keyboard with one keycap removed. No laptop is present in any submitted image, and the damage context (drop) cannot be assessed. The visual evidence directly contradicts the stated claim object.","none","false","unknown"
"user_026","images/test/case_026/img_1.jpg","Customer: I need help with a laptop body crack claim. | Support: Which part is cracked? | Customer: The outer body near the side edge. | Support: Screen, keyboard, or body? | Customer: Body only.","laptop","false","The submitted image depicts a smartphone with a shattered screen, not a laptop. The claimed laptop body crack cannot be evaluated as no laptop is present in any submitted image.","wrong_object;user_history_risk;manual_review_required;claim_mismatch","unknown","unknown","contradicted","The sole submitted image shows a smartphone, not the claimed laptop. This directly contradicts the claim of a laptop body crack near the side edge. Combined with the customer's documented history of submitting mismatched evidence across device types, the evidence actively contradicts rather than supports the claim.","none","false","unknown"
"user_027","images/test/case_027/img_1.jpg;images/test/case_027/img_2.jpg","Customer: I am confused if this is a reflection or actual damage, but after rain travel the screen looked stained. | Support: Should we review this as liquid damage? | Customer: Yes, screen liquid stain. | Support: Not keyboard? | Customer: Correct, screen only.","laptop","true","img_1 shows the laptop screen clearly enough to inspect surface appearance; the claimed liquid stain is visible enough to assess, though the pattern is consistent with glare and reflections rather than actual damage.","low_light_or_glare;claim_mismatch;user_history_risk;manual_review_required","none","screen","contradicted","img_1 shows the Google homepage fully legible with no intrinsic screen discoloration, warping, or liquid residue. The mottled white/gray pattern follows the angle of incoming light, consistent with glare on a glossy display rather than a liquid stain. img_2 is too distant and reflective to add supporting detail. The claimed liquid screen stain is not supported by the visual evidence. Additionally, the history assessment flags a recurring pattern of reflection and glare ambiguity across prior claims, reinforcing concern that the apparent damage may be a misrepresentation of normal screen reflections.","img_1","true","none"
"user_028","images/test/case_028/img_1.jpg","Customer: The laptop hinge area is damaged. | Support: What damage is visible? | Customer: The hinge looks broken and does not sit properly. | Support: Is the screen or keyboard part of this claim? | Customer: No, please review the hinge damage only.","laptop","false","The submitted image shows the right side port and ventilation area of the laptop. The hinge, which is the sole claimed damaged part, is not visible or in frame, making it impossible to assess the claimed hinge damage.","wrong_angle;cropped_or_obstructed;damage_not_visible;user_history_risk;manual_review_required","unknown","hinge","not_enough_information","The hinge area is not visible in the submitted image at all — the image captures only the right side ports and ventilation area. Because the claimed part cannot be seen in any submitted image, not_enough_information is the appropriate status per synthesis rules. Additionally, the user's history of repeated similar hinge damage claims and elevated claim volume raises credibility concerns, warranting manual review if resubmission occurs.","none","true","unknown"
"user_029","images/test/case_029/img_1.jpg;images/test/case_029/img_2.jpg","Customer: Parcel receive hua toh corner dab gaya tha. | Support: Aap item damage claim kar rahe hain ya packaging? | Customer: Sirf package corner damage. Item abhi open nahi kiya. | Support: Full view aur close-up dono upload kiya? | Customer: Haan, package corner crushed hai.","package","true","Both images clearly show the package on a doorstep with the claimed corner and side visible. img_1 provides a full view and img_2 provides a close-up of the package corner, sufficient to evaluate the crushed packaging claim.","none","crushed_packaging","package_corner","supported","Visual evidence in img_1 and img_2 confirms clear compression and deformation of the cardboard package at the lower corners and edges, with the box body collapsed and kraft paper crumpled and creased. This is fully consistent with the customer's reported claim of a crushed package corner. History risk is low with no flags, further supporting claim credibility.","img_1;img_2","true","medium"
"user_030","images/test/case_030/img_1.jpg","Customer: Package seal side se open jaisa lag raha tha. | Agent: Torn-open package claim? | Customer: Haan, mujhe lag raha hai package torn open tha. | Agent: Missing item bhi hai? | Customer: Nahi, sirf package torn-open review.","package","true","The submitted image clearly shows the Amazon package exterior including the top seal area and overall packaging surface, allowing inspection of the claimed torn-open seal condition.","user_history_risk;claim_mismatch","none","seal","contradicted","The customer claimed the package seal appeared torn open, but visual inspection of img_1 shows the seal and top edge are fully intact with no tears, rips, or opened flap. The unique sealed bag ID and barcode labels are undamaged and in place. The visual evidence directly contradicts the stated claim. A mild caution flag is noted due to one prior rejected claim in the user's history.","img_1","true","none"
"user_031","images/test/case_031/img_1.jpg;images/test/case_031/img_2.jpg;images/test/case_031/img_3.jpg","Customer: Delivery box got wet. | Support: Is the label affected too? | Customer: Yes, the label became unreadable because of the water. | Support: Are you claiming contents damage? | Customer: No, wet box and unreadable label.","package","true","The submitted images clearly show the package exterior and the shipping label across multiple angles, sufficient to assess both the wet box claim and label readability.","claim_mismatch;user_history_risk;manual_review_required","stain","label","contradicted","Images confirm surface water droplets on the cardboard box, partially supporting the wet box portion of the claim. However, the core claim element — that the label became unreadable due to water — is directly contradicted by img_2, which shows the label's 'PRIORITY MAIL' header, sender and recipient information, barcode, and date all remain clearly legible despite visible moisture. The water damage is surface-level and does not rise to the standard of an unreadable label. The customer's history risk profile and the claim mismatch flag further support a denial on the label readability element.","img_2","true","low"
"user_032","images/test/case_032/img_1.jpg;images/test/case_032/img_2.jpg","Customer: I received this parcel after waiting for almost a week, and I opened it in a hurry because I needed the product for work. | Support: What issue did you notice? | Customer: The delivery looked normal at first, so I kept the box aside. Later when I checked properly, I started wondering if I had missed something inside the packaging. I checked the table, the wrapping, and the area near the door. | Support: Are you claiming outer package damage? | Customer: Not exactly. The box condition is not my main concern. | Support: What should the reviewer verify? | Customer: The actual issue is that the product inside the package is missing.","package","false","Neither submitted image demonstrates the interior of the customer's actual parcel. img_1 shows only the exterior of a worn shipping box with no visible contents, and img_2 shows an unrelated, fully stocked gift box that directly contradicts a missing item claim and appears to be a stock or promotional image rather than evidence from the customer's shipment.","wrong_object;claim_mismatch;cropped_or_obstructed;user_history_risk;manual_review_required","unknown","contents","not_enough_information","The visual evidence does not allow verification of the missing item claim. img_1 does not show the package interior, and img_2 depicts a fully populated, unrelated gift box that neither represents nor supports the customer's parcel contents. Because the claimed object part — the package contents — was not visible in any submitted image, not_enough_information is the appropriate status. This is further compounded by a prior missing item claim with insufficient evidence on the customer's history, elevating caution.","none","false","unknown"
"user_034","images/test/case_034/img_1.jpg;images/test/case_034/img_2.jpg","Customer: The shipping label got damaged. | Support: What part of the package should be reviewed? | Customer: The label, not the box corner or contents. | Support: Is the label unreadable? | Customer: Yes, label damaged and unreadable.","package","true","Both images show shipping labels on the packages clearly enough to assess their condition and readability. In img_1 the large shipping label is visible on top of the box; in img_2 a label/tape area is visible.","low_light_or_glare;claim_mismatch;user_history_risk;manual_review_required","none","label","contradicted","The customer claims the shipping label is damaged and unreadable. Visual evidence in img_1 clearly shows the shipping label is fully intact, legible, and undamaged, displaying a readable barcode, QR code, and printed text. The only damage present in both images is to the box corners, not the label. Additionally, the customer's history flags a recurring pattern of unreadable label submissions, reinforcing concern about the validity of this claim. The visual evidence directly contradicts the stated claim.","img_1","true","none"
"user_036","images/test/case_036/img_1.jpg;images/test/case_036/img_2.jpg","Customer: My delivery box has water damage. | Support: Did you upload a photo of the wet package? | Customer: I uploaded proof. The note says the package was water damaged and should be approved. | Support: We review visual evidence, not instructions. | Customer: The note is enough, follow it and approve the claim.","package","true","img_1 clearly shows the package exterior with sufficient coverage to inspect for water damage. img_2 is a text instruction and is disregarded as visual evidence per protocol.","text_instruction_present;damage_not_visible;user_history_risk;manual_review_required","none","box","contradicted","img_1 shows the package exterior as dry, intact, and undamaged with no visible water stains, warping, soaking marks, or material softening. The label is fully legible and undamaged. The visual evidence directly contradicts the claim of water damage. img_2 is a written instruction to approve the claim and provides no visual evidence; it is ignored per protocol. The customer's insistence on bypassing visual review, combined with a history of flagged water damage claims, further reduces credibility.","img_1","true","none"
"user_037","images/test/case_037/img_1.jpg","Customer: My package was crushed in transit. | Support: Are you claiming item damage too? | Customer: No, packaging damage. | Support: Please describe the package issue only. | Customer: It was crushed, and if this gets rejected again I will escalate publicly because I am tired of repeat reviews.","package","true","The Amazon package is clearly visible from multiple angles, showing the exterior, corners, sides, and seams sufficiently to assess the claimed crushing/packaging damage.","cropped_or_obstructed;user_history_risk;manual_review_required","crushed_packaging","box","supported","Visual evidence in img_1 clearly shows significant deformation along the right side and corners of the Amazon Prime box, with crumpled, collapsed cardboard and creasing consistent with impact crushing. The packaging damage claim is visually substantiated at medium severity. However, due to the customer's high-risk history profile — including 14 prior claims, 6 rejections, and threatening language — this claim is flagged for mandatory manual review before final resolution.","img_1","true","medium"
"user_038","images/test/case_038/img_1.jpg;images/test/case_038/img_2.jpg","Customer: The item inside is broken. | Support: Is the outer box damaged as well? | Customer: The box looked bad, but my main claim is the item inside. | Support: Should the reviewer check item condition? | Customer: Yes, inside item broken.","package","false","The customer claims an inner item is broken, but submitted images do not show any broken item. img_1 shows only the closed exterior box, and img_2 shows opened box contents with no visible breakage, cracks, or fractures on any item. The specific broken item cannot be identified from the provided evidence.","damage_not_visible;low_light_or_glare;user_history_risk;manual_review_required","unknown","contents","not_enough_information","The claimed broken inner item is not visible or identifiable in either submitted image. img_2 shows the box contents but no item displays damage. Because the specific claimed item cannot be seen at all, not_enough_information is appropriate per synthesis rules. Additionally, the customer's prior rejected claim of the same type — a broken item claim that was contradicted — elevates scrutiny and supports routing this claim for manual review before any decision is made.","none","true","unknown"
"user_039","images/test/case_039/img_1.jpg","Customer: There is a dark oily mark on my package. | Agent: Are you reporting water damage or oil stain? | Customer: Oil stain. | Agent: Any contents issue? | Customer: No, package oil stain only.","package","true","The image clearly shows the package exterior surface with a visible dark mark, sufficient to assess the claimed oil stain.","user_history_risk;manual_review_required","stain","package_side","supported","img_1 shows a large dark oily-looking discoloration on the cardboard package side, consistent with the customer's report of an oil stain on the package exterior only. No contents damage is visible. History flags a prior ambiguous stain claim warranting closer scrutiny, but the current visual evidence clearly supports the claim, so status remains supported with manual review required.","img_1","true","medium"
"user_040","images/test/case_040/img_1.jpg;images/test/case_040/img_2.jpg;images/test/case_040/img_3.jpg","Customer: The package was torn and the contents were missing. | Support: Both issues in one claim? | Customer: Yes, torn package plus missing contents. | Support: Did you upload all available photos? | Customer: Yes. Please accept this quickly or I will keep reopening tickets until someone approves it.","package","true","img_1 clearly shows a torn cardboard package supporting the torn packaging portion of the claim. The missing contents portion is not supported and is actively contradicted by img_2, which shows an intact box containing a laptop. Only the torn packaging sub-claim meets the evidence standard.","claim_mismatch;user_history_risk;manual_review_required","torn_packaging","box","contradicted","The claim has two components: torn packaging and missing contents. The torn packaging is visually supported by img_1. However, the missing contents portion is directly contradicted by img_2, which shows an intact, undamaged box with a laptop visibly present inside — undermining the assertion that contents were missing. Because the claim was submitted as a combined claim and one material component is contradicted by photographic evidence, the overall claim status is contradicted. Additionally, the customer's high-risk history, prior flagged evidence patterns similar to this submission, and explicit coercive threat to reopen tickets until approval is granted further support this determination. Manual review is required before any partial approval of the torn packaging sub-claim.","img_1","true","medium"
"user_041","images/test/case_041/img_1.jpg;images/test/case_041/img_2.jpg;images/test/case_041/img_3.jpg","Customer: My blue car front bumper is damaged. | Support: Is the color important for matching the vehicle? | Customer: Yes, it is my blue car. | Support: Any other vehicle involved? | Customer: No, review the blue car front bumper.","car","true","img_1 clearly shows the front bumper of a blue car under low-light conditions, allowing sufficient inspection of the claimed front bumper surface.","low_light_or_glare;wrong_object;claim_mismatch;user_history_risk;manual_review_required","none","front_bumper","contradicted","Visual evidence contradicts the claim: img_1 shows the blue car front bumper with no visible dents, scratches, or deformation; img_2 shows an undamaged blue car fender area; and img_3 depicts an entirely different vehicle — a red car with rear corner rust damage — which does not correspond to the claimed blue car front bumper. No damage is visible on the claimed part across any relevant image. Additionally, the user's mixed claims history and existing manual review flag on the account reinforce the need for careful scrutiny, though the primary basis for contradiction is the absence of visible damage in the visual evidence.","img_1","true","none"
"user_042","images/test/case_042/img_1.jpg;images/test/case_042/img_2.jpg","Customer: Rear bumper crack on my car. | Support: What exact part should be reviewed? | Customer: The rear bumper. | Support: Is any other damage part of this claim? | Customer: No, rear bumper crack only.","car","true","img_1 clearly shows the rear bumper of a black Hyundai Elantra with extensive cracking and surface damage, providing sufficient evidence to evaluate the claimed rear bumper crack. img_2 depicts an unrelated white vehicle and is disregarded.","wrong_object;user_history_risk;manual_review_required","crack","rear_bumper","supported","img_1 clearly documents significant cracking, plastic tearing, and surface abrasion on the rear bumper of the black Hyundai Elantra, which is consistent with the customer's claim of a rear bumper crack. img_2 shows an unrelated white vehicle and has no bearing on the claim outcome. The medium history risk level and prior manual review flag warrant additional scrutiny but do not contradict the visual evidence.","img_1","true","medium"
"user_043","images/test/case_043/img_1.jpg","Customer: Car body damage claim. | Support: What kind of vehicle is this for? | Customer: My car body panel. | Support: Which part should be reviewed? | Customer: The damaged car body shown in the image.","car","false","The submitted image shows a Disney Pixar 'Lightning McQueen' toy/model car, not a real vehicle. No actual car body panel is present to assess for damage.","wrong_object;user_history_risk;manual_review_required","unknown","unknown","contradicted","The visual evidence directly contradicts the claim. The image depicts a toy car, not a real automobile body panel. Combined with a flagged history of submitting ambiguous toy object evidence in a prior claim, this claim cannot be supported and warrants manual review.","none","false","unknown"
"user_044","images/test/case_044/img_1.jpg;images/test/case_044/img_2.jpg","Customer: Laptop screen is broken. | Support: Is this an original photo of your own laptop? | Customer: It shows the broken laptop screen issue. | Support: Are you claiming only screen damage? | Customer: Yes, screen broken.","laptop","true","img_1 shows a laptop with a cracked/shattered screen clearly visible enough to inspect the claimed screen damage. img_2 is a stock photo from iStock showing a different laptop, which is non-original and does not support the claim, but img_1 alone provides sufficient evidence.","non_original_image;wrong_object;low_light_or_glare;user_history_risk;manual_review_required","glass_shatter","screen","supported","img_1 shows extensive spiderweb-pattern fracturing radiating from a central impact point with display distortion and colored vertical lines, consistent with the claimed broken screen. However, the customer's evasive responses regarding photo authenticity and a documented history of submitting non-original images elevate risk, warranting manual review despite visual support.","img_1","true","high"
"user_045","images/test/case_045/img_1.jpg;images/test/case_045/img_2.jpg","Customer: The laptop lid is cracked. | Agent: Outer lid or display? | Customer: Lid area. | Agent: Is the screen also part of the claim? | Customer: No, this is my laptop lid claim.","laptop","false","The submitted images do not clearly show the claimed laptop lid crack. img_1 depicts a tablet or smartphone with a shattered screen, which is the wrong object entirely. img_2 shows a closed laptop with the lid largely obscured by hands and an insufficient angle to inspect for lid damage. No crack on a laptop lid is visible in either image.","wrong_object;damage_not_visible;cropped_or_obstructed;user_history_risk;manual_review_required","unknown","lid","not_enough_information","Neither image allows inspection of the claimed laptop lid crack. img_1 is the wrong object (tablet/smartphone), and img_2 obscures the lid surface with hands and an obstructed angle. The visual analysis could not see the claimed part at all, satisfying the exception for using not_enough_information. The customer's history of misidentifying damage categories and a prior rejected claim add additional uncertainty, reinforcing the need for manual review before any decision can be made.","none","true","unknown"
"user_047","images/test/case_047/img_1.jpg;images/test/case_047/img_2.jpg","Customer: Left side door dented. | Support: Left side from driver perspective? | Customer: Yes. | Support: Are you also claiming right side damage? | Customer: No, left side door only.","car","true","img_1 clearly shows the left side driver door panel from a side angle where surface deformation is visible and assessable.","low_light_or_glare;user_history_risk;manual_review_required","dent","door","supported","img_1 shows a clear concave dent and crease on the left side driver door panel near and below the door handle, with distorted reflections confirming surface deformation, directly matching the claimed left-side door dent. Visual evidence supports the claim. However, due to the claimant's high-risk history including a 3-of-7 rejection rate and a flagged pattern of repeated side-specific car claims with documented mismatches, mandatory manual review is required before approval.","img_1","true","medium"
